Interval=	0,01 s
ExcelDateTime=	4,3899352873981479e+004	09-03-2020 8:28:08,312
TimeFormat=	StartOfBlock
ChannelTitle=	Canal 1	Canal 7
Range=	200,0 mV	200,0 mV
UnitName=	 L/s	 L/s
TopValue=	8,0	8,0
BottomValue=	-8,0	-8,0
0:00:00,0	0,2	-0,1	
0:00:00,01	0,2	-0,1	
0:00:00,02	0,2	-0,1	
0:00:00,03	0,2	-0,1	
0:00:00,04	0,2	-0,1	
0:00:00,05	0,2	-0,1	
0:00:00,06	0,2	-0,1	
0:00:00,07	0,2	-0,1	
0:00:00,08	0,2	-0,1	
0:00:00,09	0,2	-0,1	
0:00:00,1	0,2	-0,1	
0:00:00,11	0,2	-0,1	
0:00:00,12	0,2	-0,1	
0:00:00,13	0,2	-0,1	
0:00:00,14	0,2	-0,1	
0:00:00,15	0,2	-0,1	
0:00:00,16	0,2	-0,1	
0:00:00,17	0,2	-0,1	
0:00:00,18	0,2	-0,1	
0:00:00,19	0,2	-0,1	
0:00:00,2	0,2	-0,1	
0:00:00,21	0,2	-0,1	
0:00:00,22	0,2	-0,1	
0:00:00,23	0,2	-0,1	
0:00:00,24	0,2	-0,1	
0:00:00,25	0,2	-0,1	
0:00:00,26	0,2	-0,1	
0:00:00,27	0,2	-0,1	
0:00:00,28	0,2	-0,1	
0:00:00,29	0,2	-0,1	
0:00:00,3	0,2	-0,1	
0:00:00,31	0,2	-0,1	
0:00:00,32	0,2	-0,1	
0:00:00,33	0,2	-0,1	
0:00:00,34	0,2	-0,1	
0:00:00,35	0,2	-0,1	
0:00:00,36	0,2	-0,1	
0:00:00,37	0,2	-0,1	
0:00:00,38	0,2	-0,1	
0:00:00,39	0,2	-0,1	
0:00:00,4	0,2	-0,1	
0:00:00,41	0,2	-0,1	
0:00:00,42	0,2	-0,1	
0:00:00,43	0,2	-0,1	
0:00:00,44	0,2	-0,1	
0:00:00,45	0,2	-0,1	
0:00:00,46	0,2	-0,1	
0:00:00,47	0,2	-0,1	
0:00:00,48	0,2	-0,1	
0:00:00,49	0,2	-0,1	
0:00:00,5	0,2	-0,1	
0:00:00,51	0,2	-0,1	
0:00:00,52	0,2	-0,1	
0:00:00,53	0,2	-0,1	
0:00:00,54	0,2	-0,1	
0:00:00,55	0,2	-0,1	
0:00:00,56	0,2	-0,1	
0:00:00,57	0,2	-0,1	
0:00:00,58	0,2	-0,1	
0:00:00,59	0,2	-0,1	
0:00:00,6	0,2	-0,1	
0:00:00,61	0,2	-0,1	
0:00:00,62	0,2	-0,1	
0:00:00,63	0,2	-0,1	
0:00:00,64	0,2	-0,1	
0:00:00,65	0,2	-0,1	
0:00:00,66	0,2	-0,1	
0:00:00,67	0,2	-0,1	
0:00:00,68	0,2	-0,1	
0:00:00,69	0,2	-0,1	
0:00:00,7	0,2	-0,1	
0:00:00,71	0,2	-0,1	
0:00:00,72	0,2	-0,1	
0:00:00,73	0,2	-0,1	
0:00:00,74	0,2	-0,1	
0:00:00,75	0,2	-0,1	
0:00:00,76	0,2	-0,1	
0:00:00,77	0,2	-0,1	
0:00:00,78	0,2	-0,1	
0:00:00,79	0,2	-0,1	
0:00:00,8	0,2	-0,1	
0:00:00,81	0,2	-0,1	
0:00:00,82	0,2	-0,1	
0:00:00,83	0,2	-0,1	
0:00:00,84	0,2	-0,1	
0:00:00,85	0,2	-0,1	
0:00:00,86	0,2	-0,1	
0:00:00,87	0,2	-0,1	
0:00:00,88	0,2	-0,1	
0:00:00,89	0,2	-0,1	
0:00:00,9	0,2	-0,1	
0:00:00,91	0,2	-0,1	
0:00:00,92	0,2	-0,1	
0:00:00,93	0,2	-0,1	
0:00:00,94	0,2	-0,1	
0:00:00,95	0,2	-0,1	
0:00:00,96	0,2	-0,1	
0:00:00,97	0,2	-0,1	
0:00:00,98	0,2	-0,1	
0:00:00,99	0,2	-0,1	
0:00:01,0	0,2	-0,1	
0:00:01,01	0,2	-0,1	
0:00:01,02	0,2	-0,1	
0:00:01,03	0,2	-0,1	
0:00:01,04	0,2	-0,1	
0:00:01,05	0,2	-0,1	
0:00:01,06	0,2	-0,1	
0:00:01,07	0,2	-0,1	
0:00:01,08	0,2	-0,1	
0:00:01,09	0,2	-0,1	
0:00:01,1	0,2	-0,1	
0:00:01,11	0,2	-0,1	
0:00:01,12	0,2	-0,1	
0:00:01,13	0,2	-0,1	
0:00:01,14	0,2	-0,1	
0:00:01,15	0,2	-0,1	
0:00:01,16	0,2	-0,1	
0:00:01,17	0,2	-0,1	
0:00:01,18	0,2	-0,1	
0:00:01,19	0,2	-0,1	
0:00:01,2	0,2	-0,1	
0:00:01,21	0,2	-0,1	
0:00:01,22	0,2	-0,1	
0:00:01,23	0,2	-0,1	
0:00:01,24	0,2	-0,1	
0:00:01,25	0,2	-0,1	
0:00:01,26	0,2	-0,1	
0:00:01,27	0,2	-0,1	
0:00:01,28	0,2	-0,1	
0:00:01,29	0,2	-0,1	
0:00:01,3	0,2	-0,1	
0:00:01,31	0,2	-0,1	
0:00:01,32	0,2	-0,1	
0:00:01,33	0,2	-0,1	
0:00:01,34	0,2	-0,1	
0:00:01,35	0,2	-0,1	
0:00:01,36	0,2	-0,1	
0:00:01,37	0,2	-0,1	
0:00:01,38	0,2	-0,1	
0:00:01,39	0,2	-0,1	
0:00:01,4	0,2	-0,1	
0:00:01,41	0,2	-0,1	
0:00:01,42	0,2	-0,1	
0:00:01,43	0,2	-0,1	
0:00:01,44	0,2	-0,1	
0:00:01,45	0,2	-0,1	
0:00:01,46	0,2	-0,1	
0:00:01,47	0,2	-0,1	
0:00:01,48	0,2	-0,1	
0:00:01,49	0,2	-0,1	
0:00:01,5	0,2	-0,1	
0:00:01,51	0,2	-0,1	
0:00:01,52	0,2	-0,1	
0:00:01,53	0,2	-0,1	
0:00:01,54	0,2	-0,1	
0:00:01,55	0,3	-0,1	
0:00:01,56	0,2	-0,1	
0:00:01,57	0,2	-0,1	
0:00:01,58	0,3	-0,1	
0:00:01,59	0,2	-0,1	
0:00:01,6	0,3	-0,1	
0:00:01,61	0,2	-0,1	
0:00:01,62	0,3	-0,0	
